Date,Day_of_the_week,App,Minutes,Category
8/27,Sunday,INSTAGRAM,124,Social Media
8/27,Sunday,TIKTOK,97,Social Media
8/27,Sunday,SAFARI,28,Other
8/28,Monday,INSTAGRAM,222,Social Media
8/28,Monday,CLOCK,131,Other
8/28,Monday,TIKTOK,72,Social Media
8/29,Tuesday,INSTAGRAM,190,Social Media
8/29,Tuesday,CAMO,103,Other
8/29,Tuesday,TIKTOK,91,Social Media
8/30,Wednesday,CAMO,99,Other
8/30,Wednesday,INSTAGRAM,86,Social Media
8/30,Wednesday,YOUTUBE,59,Entertainment
8/31,Thursday,INSTAGRAM,88,Social Media
8/31,Thursday,SPOTIFY,120,Entertainment
8/31,Thursday,MESSAGES,62,Other
9/1,Friday,INSTAGRAM,244,Social Media
9/1,Friday,YOUTUBE,83,Entertainment
9/1,Friday,CLOCK,63,Other
9/2,Saturday,INSTAGRAM,355,Social Media
9/2,Saturday,CLOCK,253,Other
9/2,Saturday,TIKTOK,59,Social Media